,Year,Month,Day,stateProvince,Latitude,Longitude,Suburb
0,2002,2,25,Queensland,-25.434727,149.137989,Glenhaughton
1,1992,11,24,Queensland,-27.981739,152.621911,Mount French
2,2003,4,5,Queensland,-26.838766,152.87807,Peachester
3,1969,1,1,Queensland,-25.315,150.017778,Spring Creek (Banana - Qld)
4,2007,1,17,Queensland,-17.167354,145.529984,Tinaroo
5,1993,10,13,Queensland,-27.640069,153.176065,Shailer Park
6,2002,3,19,Queensland,-26.726623,152.619983,Conondale
7,1993,8,28,Queensland,-27.490076,152.276079,Vinegar Hill
8,1993,11,10,Queensland,-27.140071,153.059397,
9,1998,10,18,Queensland,-19.13221,146.45762,Clemant
10,1982,1,1,Queensland,-20.5121,148.6811,Goorganga Plains
11,1993,1,16,Queensland,-27.623405,152.759405,Ipswich
12,2015,8,29,Queensland,-13.411185,142.609833,Coen
13,1990,1,1,Queensland,-27.419234,153.442726,North Stradbroke Island
14,2002,3,9,Queensland,-17.123611,144.435833,Chillagoe
15,1976,1,1,Queensland,-21.281667,144.634444,Prairie (Qld)
16,1997,6,13,Queensland,-25.926176,152.205278,Mudlo
17,2010,9,14,Queensland,-19.02262,146.09799,Paluma
18,2015,8,29,Queensland,-13.42332,142.49226,Archer River
19,1994,3,1,Queensland,-26.781747,151.913578,Tarong
20,1995,1,27,Queensland,-25.878599,152.639792,Bauple Forest
21,1993,5,1,Queensland,-26.773405,153.109392,Meridan Plains
22,1995,4,21,Queensland,-26.859748,153.036753,Coochin Creek
23,2005,1,28,Queensland,-26.832273,152.898398,Peachester
24,2002,6,6,Queensland,-24.475905,151.895225,Baffle Creek
25,1971,1,1,Queensland,-20.865,144.601111,Prairie (Qld)
26,2015,2,14,Queensland,-27.67821,152.08725,Egypt
27,2005,12,12,Queensland,-26.835876,152.878531,Crohamhurst
28,2006,3,20,Queensland,-20.455585,147.303505,Mount Wyatt
29,1974,1,1,Queensland,-21.948333,143.551111,Corfield
30,1993,7,31,Queensland,-15.369155,141.963304,Maramie
31,2007,10,3,Queensland,-25.633981,152.136751,Boompa
32,2021,2,12,Queensland,-25.561955,152.675433,Tinana
33,1936,1,1,Queensland,-17.565,146.017778,Mundoo
