RecordID,Species,Latitude_original,Longitude_original,Country_parsed,State_parsed,LocalGovernmentAreas,Year,Month,Day
9d3c9e3b-2240-46da-9bc2-99cd09aae11c,Rhinella marina,-14.1082979,131.3500195,Australia,Northern Territory,Unincorporated NT,2007,11,1
2926e7ef-6432-4124-b4db-e98a27f19ffd,Rhinella marina,-26.742,152.842,Australia,Queensland,Sunshine Coast (R),1996,11,1
eacbb556-4910-4550-a2a9-c9d05b325faa,Rhinella marina,-25.75131637,152.3939067,Australia,Queensland,Fraser Coast (R),1997,10,13
0db08b8c-f07f-4264-9d4e-b573ea12a2d8,Rhinella marina,,,,Queensland,Sunshine Coast (R),2019,2,8
e1bd576c-8c1e-42dc-8f24-dda218462235,Rhinella marina,-11.955805,142.933375,Australia,Queensland,Cook (S),2017,8,2
badea90b-3d6b-4762-b2c5-65780c158038,Rhinella marina,-17.69888889,145.4663056,Australia,Queensland,Tablelands (R),2014,2,24
f70d5616-2fe3-4fc8-a15e-2589aaad0c95,Rhinella marina,-16.9934,141.2774,Australia,Queensland,Carpentaria (S),2011,6,21
24afa616-7498-406b-a371-8308fdaae059,Rhinella marina,-17.11868,144.99957,Australia,Queensland,Tablelands (R),,,
2edcc04e-4652-4693-993b-2280f5bd688a,Rhinella marina,-20.47037011,147.4086136,Australia,Queensland,Whitsunday (R),2006,6,4
270ec3ea-4053-4dce-8f71-34a0ef69e55b,Rhinella marina,-12.65082,134.09482,Australia,Northern Territory,West Arnhem (S),2011,7,18
73d3f822-80d4-4860-aee6-55fc17b0a236,Rhinella marina,-17.28548686,145.4306181,Australia,Queensland,Tablelands (R),1994,12,16
d6005ef9-f9a5-44fc-9c5d-7192c0bf7ee8,Rhinella marina,,,,Queensland,Sunshine Coast (R),2023,3,2
3942eddc-982d-4ea5-b3b4-f919bca9228c,Rhinella marina,-25.36326528,152.3866129,Australia,Queensland,Fraser Coast (R),1997,6,30
1541fcb6-03b8-408a-844a-a9a5805d14c7,Rhinella marina,-27.63001171,153.2013394,Australia,Queensland,Redland (C),2002,11,15
e487a6d0-7309-42f7-a3aa-c3d79c92068a,Rhinella marina,-13.06465,142.8784,Australia,Queensland,Cook (S),2010,8,2
afba478c-1330-44ec-90d7-e9434d02b4ef,Rhinella marina,-19.01487,146.01876,Australia,Queensland,Charters Towers (R),2013,11,7
cb610e7c-cf67-4312-ac05-c64b5bfd0253,Rhinella marina,-27.00852323,152.9244269,Australia,Queensland,Moreton Bay (R),2003,2,5
7bd9e411-ab43-4574-bce9-54b0d1d61642,Rhinella marina,-18.14662,143.21832,Australia,Queensland,Etheridge (S),,,
b0e83337-130f-4e72-8789-15b289b7843f,Rhinella marina,-27.5667,152.5,Australia,Queensland,Lockyer Valley (R),2002,1,1
b7329353-e166-46d0-823e-dda309bc20ea,Rhinella marina,-13.96160116,143.2096336,Australia,Queensland,Cook (S),2013,5,8
66f25f84-10d0-49b4-8c80-5e19332fb53b,Rhinella marina,-26.82062778,152.9843948,Australia,Queensland,Sunshine Coast (R),1980,1,1
71c91473-da8f-4612-85f6-f1627d58147c,Rhinella marina,-28.07340394,152.8427414,Australia,Queensland,Scenic Rim (R),1995,4,11
5824533a-cb67-47e4-9011-fcf6860c0282,Rhinella marina,-19.665,147.4177778,Australia,Queensland,Burdekin (S),1974,1,1
