,Year,Month,Day,State,Latitude,Longitude,postcode,state_code,Suburb,combined_location
0,2002,2,25,Queensland,-25.434727,149.137989,4420,QLD,Glenhaughton,"Glenhaughton, 4420, QLD"
1,1992,11,24,Queensland,-27.981739,152.621911,4310,QLD,Mount French,"Mount French, 4310, QLD"
2,2003,4,5,Queensland,-26.838766,152.87807,4519,QLD,Peachester,"Peachester, 4519, QLD"
3,1969,1,1,Queensland,-25.315,150.017778,4420,QLD,Spring Creek,"Spring Creek, 4420, QLD"
4,2007,1,17,Queensland,-17.167354,145.529984,4872,QLD,Tinaroo,"Tinaroo, 4872, QLD"
5,1993,10,13,Queensland,-27.640069,153.176065,4128,QLD,Shailer Park,"Shailer Park, 4128, QLD"
6,2002,3,19,Queensland,-26.726623,152.619983,4552,QLD,Conondale,"Conondale, 4552, QLD"
7,1993,8,28,Queensland,-27.490076,152.276079,4343,QLD,Vinegar Hill,"Vinegar Hill, 4343, QLD"
8,1998,10,18,Queensland,-19.13221,146.45762,4816,QLD,Clemant,"Clemant, 4816, QLD"
9,1982,1,1,Queensland,-20.5121,148.6811,4800,QLD,Goorganga Plains,"Goorganga Plains, 4800, QLD"
10,1993,1,16,Queensland,-27.623405,152.759405,4305,QLD,Ipswich,"Ipswich, 4305, QLD"
11,2015,8,29,Queensland,-13.411185,142.609833,4892,QLD,Coen,"Coen, 4892, QLD"
12,1990,1,1,Queensland,-27.419234,153.442726,4183,QLD,North Stradbroke Island,"North Stradbroke Island, 4183, QLD"
13,2002,3,9,Queensland,-17.123611,144.435833,4871,QLD,Chillagoe,"Chillagoe, 4871, QLD"
14,1976,1,1,Queensland,-21.281667,144.634444,4821,QLD,Prairie,"Prairie, 4821, QLD"
15,1997,6,13,Queensland,-25.926176,152.205278,4600,QLD,Mudlo,"Mudlo, 4600, QLD"
16,2010,9,14,Queensland,-19.02262,146.09799,4816,QLD,Paluma,"Paluma, 4816, QLD"
17,2015,8,29,Queensland,-13.42332,142.49226,4892,QLD,Archer River,"Archer River, 4892, QLD"
18,1994,3,1,Queensland,-26.781747,151.913578,4615,QLD,Tarong,"Tarong, 4615, QLD"
19,1995,1,27,Queensland,-25.878599,152.639792,4650,QLD,Bauple Forest,"Bauple Forest, 4650, QLD"
20,1993,5,1,Queensland,-26.773405,153.109392,4551,QLD,Meridan Plains,"Meridan Plains, 4551, QLD"
21,1995,4,21,Queensland,-26.859748,153.036753,4519,QLD,Coochin Creek,"Coochin Creek, 4519, QLD"
22,2005,1,28,Queensland,-26.832273,152.898398,4519,QLD,Peachester,"Peachester, 4519, QLD"
23,2002,6,6,Queensland,-24.475905,151.895225,4674,QLD,Baffle Creek,"Baffle Creek, 4674, QLD"
24,1971,1,1,Queensland,-20.865,144.601111,4821,QLD,Prairie,"Prairie, 4821, QLD"
25,2015,2,14,Queensland,-27.67821,152.08725,4344,QLD,Egypt,"Egypt, 4344, QLD"
26,2005,12,12,Queensland,-26.835876,152.878531,4519,QLD,Crohamhurst,"Crohamhurst, 4519, QLD"
27,2006,3,20,Queensland,-20.455585,147.303505,4804,QLD,Mount Wyatt,"Mount Wyatt, 4804, QLD"
28,1974,1,1,Queensland,-21.948333,143.551111,4733,QLD,Corfield,"Corfield, 4733, QLD"
29,1993,7,31,Queensland,-15.369155,141.963304,4892,QLD,Maramie,"Maramie, 4892, QLD"
30,2007,10,3,Queensland,-25.633981,152.136751,4621,QLD,Boompa,"Boompa, 4621, QLD"
31,2021,2,12,Queensland,-25.561955,152.675433,4650,QLD,Tinana,"Tinana, 4650, QLD"
32,1936,1,1,Queensland,-17.565,146.017778,4860,QLD,Mundoo,"Mundoo, 4860, QLD"
33,1993,2,1,Queensland,-27.690071,152.92607,4300,QLD,Springfield Lakes,"Springfield Lakes, 4300, QLD"
34,1996,5,3,Queensland,-27.400278,152.805833,4520,QLD,Jollys Lookout,"Jollys Lookout, 4520, QLD"
35,1992,1,1,Queensland,-27.823401,153.342731,4209,QLD,Pimpama,"Pimpama, 4209, QLD"
36,2003,9,2,Queensland,-25.457269,152.631358,4650,QLD,Duckinwilla,"Duckinwilla, 4650, QLD"
37,2005,2,13,Queensland,-26.883195,152.810755,4514,QLD,Stanmore,"Stanmore, 4514, QLD"
38,1992,3,1,Queensland,-26.398409,152.623285,4570,QLD,Kandanga Creek,"Kandanga Creek, 4570, QLD"
39,1993,4,30,Queensland,-27.590071,152.909403,4076,QLD,Wacol,"Wacol, 4076, QLD"
40,1994,1,1,Queensland,-27.61257,153.084956,4112,QLD,Kuraby,"Kuraby, 4112, QLD"
41,2012,2,6,Queensland,-26.926992,150.299152,4413,QLD,Wieambilla,"Wieambilla, 4413, QLD"
42,1995,1,18,Queensland,-25.875001,152.623992,4650,QLD,Bauple Forest,"Bauple Forest, 4650, QLD"
43,2001,3,17,Queensland,-17.940556,141.755278,4871,QLD,Blackbull,"Blackbull, 4871, QLD"
44,2011,8,25,Queensland,-25.214167,152.607611,4659,QLD,Burrum Heads,"Burrum Heads, 4659, QLD"
